Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Obama,Romney,Undecided,Other,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
YouGov/Economist,2012-08-18,2012-08-20,2012-08-22T13:09:06Z,703,Registered Voters,Internet,45.0,45.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14729,http://cdn.yougov.com/cumulus_uploads/document/1wbynyqshc/econToplines.pdf,Nonpartisan,None,,1
AP-GfK,2012-08-16,2012-08-20,2012-08-22T07:30:04Z,885,Registered Voters,Live Phone,47.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/ap-gfk-14719,http://ap-gfkpoll.com/main/wp-content/uploads/2012/08/AP-GfK-Poll-August-2012-Topline-FINAL_politics.pdf,Nonpartisan,None,,1
NBC/WSJ,2012-08-16,2012-08-20,2012-08-21T18:42:30Z,1000,Registered Voters,Live Phone,48.0,44.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-14718,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/August_NBC-WSJ_Int_Sched.pdf,Nonpartisan,None,,1
Rasmussen,2012-08-17,2012-08-19,2012-08-20T10:32:00Z,1500,Likely Voters,Automated Phone,43.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14698,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-08-16,2012-08-19,2012-08-21T13:54:51Z,1000,Registered Voters,Automated Phone,49.0,45.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14714,http://www.dailykos.com/weeklypolling/2012/8/16,Sponsor,Dem,,1
Monmouth,2012-08-15,2012-08-19,2012-08-20T13:06:46Z,1149,Likely Voters,IVR/Live Phone,46.0,45.0,6.0,4.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-14702,http://www.monmouth.edu/assets/0/84/159/2147483694/9e0f1831-9dbd-4fa3-b0e3-59588c95ec61.pdf,Nonpartisan,None,,1
USC/LA Times,2012-08-13,2012-08-19,2012-08-24T11:26:24Z,954,Likely Voters,Live Phone,48.0,46.0,5.0,1.0,https://elections.huffingtonpost.com/pollster/polls/usc-la-times-14760,http://www.gqrr.com/index.php?ID=2780,Nonpartisan,None,,1
Gallup,2012-08-13,2012-08-19,2012-08-20T13:01:26Z,3000,Registered Voters,Live Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14700,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-08-14,2012-08-16,2012-08-17T10:06:01Z,1500,Likely Voters,Automated Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14683,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-08-11,2012-08-13,2012-08-15T10:50:54Z,850,Registered Voters,Internet,47.0,44.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14659,http://cdn.yougov.com/cumulus_uploads/document/lfu8cg1oh5/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-08-11,2012-08-13,2012-08-14T10:12:31Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14644,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-08-09,2012-08-12,2012-08-14T15:55:32Z,1000,Registered Voters,Automated Phone,47.0,45.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14653,http://www.dailykos.com/weeklypolling/2012/8/9,Sponsor,Dem,,1
Gallup,2012-08-06,2012-08-12,2012-08-13T13:04:14Z,3000,Registered Voters,Live Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14635,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-08-08,2012-08-10,2012-08-13T09:53:00Z,1500,Likely Voters,Automated Phone,44.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14620,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-08-03,2012-08-10,2012-08-12T00:09:52Z,828,Registered Voters,Live Phone,46.0,39.0,15.0,0.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-14619,http://www.tipponline.com/presidency/news/presidency/obama-widens-lead-over-romney,Nonpartisan,None,,1
Politico/GWU/Battleground,2012-08-05,2012-08-09,2012-08-13T10:29:50Z,1000,Likely Voters,Live Phone,48.0,46.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/politico-gwu-battleground-14631,http://images.politico.com/global/2012/08/politico_gw_bg_48_questionnaire.pdf,Nonpartisan,None,,1
CNN,2012-08-07,2012-08-08,2012-08-09T16:29:19Z,911,Registered Voters,Live Phone,52.0,45.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/cnn-14609,http://politicalticker.blogs.cnn.com/2012/08/09/cnn-poll-obama-holds-7-point-lead-over-romney/,Nonpartisan,None,,1
FOX,2012-08-05,2012-08-07,2012-08-10T10:12:26Z,930,Registered Voters,Live Phone,49.0,40.0,10.0,2.0,https://elections.huffingtonpost.com/pollster/polls/fox-14610,http://www.foxnews.com/politics/interactive/2012/08/09/fox-news-poll-presidential-race/,Nonpartisan,None,,1
Rasmussen,2012-08-05,2012-08-07,2012-08-08T10:10:32Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14587,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-08-04,2012-08-06,2012-08-08T13:14:17Z,733,Registered Voters,Internet,46.0,45.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14598,http://cdn.yougov.com/cumulus_uploads/document/fazmvhzmj2/econToplines.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2012-08-02,2012-08-06,2012-08-08T11:15:02Z,900,Registered Voters,Live Phone,49.0,42.0,6.0,4.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-14591,http://ipsos-na.com/download/pr.aspx?id=11840,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-08-02,2012-08-05,2012-08-07T13:13:41Z,1000,Registered Voters,Automated Phone,48.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14582,http://www.dailykos.com/weeklypolling/2012/8/2,Sponsor,Dem,,1
Gallup,2012-07-30,2012-08-05,2012-08-06T13:00:43Z,3000,Registered Voters,Live Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14573,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Post/Kaiser,2012-07-25,2012-08-05,2012-08-21T11:29:56Z,,Registered Voters,Live Phone,50.0,43.0,5.0,1.0,https://elections.huffingtonpost.com/pollster/polls/post-kaiser-14710,http://www.washingtonpost.com/wp-srv/politics/polls/postkaiserpoll_20120805.html,Nonpartisan,None,,1
Rasmussen,2012-08-02,2012-08-04,2012-08-06T10:08:52Z,1500,Likely Voters,Automated Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14560,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Rasmussen,2012-07-30,2012-08-01,2012-08-02T10:17:59Z,1500,Likely Voters,Automated Phone,44.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14539,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-07-28,2012-07-30,2012-08-01T13:01:52Z,751,Registered Voters,Internet,44.0,46.0,4.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14531,http://cdn.yougov.com/cumulus_uploads/document/gz7vfdakvv/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-07-27,2012-07-29,2012-07-30T10:15:39Z,1500,Likely Voters,Automated Phone,44.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14483,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-07-26,2012-07-29,2012-07-31T10:37:23Z,1000,Registered Voters,Automated Phone,48.0,47.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14506,http://dailykos.com/weeklypolling/2012/7/26,Sponsor,Dem,,1
Gallup,2012-07-22,2012-07-29,2012-07-30T13:01:36Z,3000,Registered Voters,Live Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14500,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-07-24,2012-07-26,2012-07-27T10:08:12Z,1500,Likely Voters,Automated Phone,44.0,49.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14469,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Pew,2012-07-16,2012-07-26,2012-08-02T15:25:32Z,1956,Registered Voters,Live Phone,51.0,41.0,5.0,2.0,https://elections.huffingtonpost.com/pollster/polls/pew-14550,http://big.assets.huffingtonpost.com/pew82.pdf,Nonpartisan,None,,1
Democracy Corps (D),2012-07-21,2012-07-25,2012-07-30T11:49:26Z,700,Likely Voters,Live Phone,50.0,46.0,2.0,2.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-14498,http://www.democracycorps.com/attachments/article/900/July_Dcorps_political_%20FQ.pdf,Pollster,Dem,,1
YouGov/Economist,2012-07-21,2012-07-23,2012-07-25T13:31:36Z,746,Registered Voters,Internet,44.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14451,http://cdn.yougov.com/cumulus_uploads/document/t94ooj9582/20120721%20econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-07-21,2012-07-23,2012-07-24T10:01:04Z,1500,Likely Voters,Automated Phone,44.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14426,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-07-19,2012-07-22,2012-07-24T15:22:52Z,1000,Registered Voters,Automated Phone,46.0,46.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14434,http://dailykos.com/weeklypolling/2012/7/19,Sponsor,Dem,,1
NBC/WSJ,2012-07-18,2012-07-22,2012-07-24T19:09:38Z,1000,Registered Voters,Live Phone,49.0,43.0,3.0,5.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-14436,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/12768_July_Poll.pdf,Nonpartisan,None,,1
Gallup,2012-07-15,2012-07-21,2012-07-23T10:14:20Z,3000,Registered Voters,Live Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14416,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-07-18,2012-07-20,2012-07-23T10:08:57Z,1500,Likely Voters,Automated Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14410,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
FOX,2012-07-15,2012-07-17,2012-07-18T18:29:27Z,901,Registered Voters,Live Phone,45.0,41.0,11.0,2.0,https://elections.huffingtonpost.com/pollster/polls/fox-14381,http://www.foxnews.com/politics/interactive/2012/07/18/fox-news-poll-37-voters-say-are-better-off-than-four-years-ago/,Nonpartisan,None,,1
Rasmussen,2012-07-15,2012-07-17,2012-07-18T10:03:00Z,1500,Likely Voters,Automated Phone,46.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14373,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-07-14,2012-07-16,2012-07-18T13:03:40Z,742,Registered Voters,Internet,47.0,44.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14378,http://cdn.yougov.com/cumulus_uploads/document/wxt8kj3j6n/econToplines.pdf,Nonpartisan,None,,1
CBS/Times,2012-07-11,2012-07-16,2012-07-18T18:42:53Z,942,Registered Voters,Live Phone,46.0,47.0,5.0,2.0,https://elections.huffingtonpost.com/pollster/polls/cbs-times-14382,http://www.cbsnews.com/8301-250_162-57475191/cbs-news-new-york-times-poll-7-18-12/,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-07-12,2012-07-15,2012-07-17T11:02:36Z,1000,Registered Voters,Automated Phone,48.0,46.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14365,http://dailykos.com/weeklypolling/2012/6/28,Sponsor,Dem,,1
Rasmussen,2012-07-12,2012-07-14,2012-07-16T10:21:26Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14340,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Gallup,2012-07-08,2012-07-14,2012-07-16T10:23:49Z,3000,Registered Voters,Live Phone,47.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14346,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
NPR,2012-07-09,2012-07-12,2012-07-19T10:37:05Z,1000,Likely Voters,Live Phone,47.0,45.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/npr-14390,http://www.npr.org/news/polls/npr.pdf,Nonpartisan,None,,1
Marist/McClatchy,2012-07-09,2012-07-11,2012-07-16T10:48:15Z,849,Registered Voters,Live Phone,48.0,46.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/marist-mcclatchy-14351,http://www.mcclatchydc.com/2012/07/13/156143/mcclatchy-marist-poll-july-2012.html,Nonpartisan,None,,1
Rasmussen,2012-07-09,2012-07-11,2012-07-12T10:10:40Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14309,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-07-07,2012-07-09,2012-07-11T13:07:24Z,,Registered Voters,Internet,43.0,44.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14304,http://cdn.yougov.com/cumulus_uploads/document/qmv1u9m8r1/econToplines.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2012-07-05,2012-07-09,2012-07-10T17:51:03Z,885,Registered Voters,Live Phone,49.0,43.0,4.0,4.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-14291,http://www.ipsos-na.com/download/pr.aspx?id=11798,Nonpartisan,None,,1
Pew,2012-06-28,2012-07-09,2012-07-12T13:58:45Z,2373,Registered Voters,Live Phone,50.0,43.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/pew-14317,http://www.people-press.org/files/legacy-pdf/7-12-12%20Political%20Release.pdf,Nonpartisan,None,,1
Washington Times/JZ Analytics,2012-07-06,2012-07-08,2012-07-10T10:10:10Z,800,Likely Voters,Live Phone,42.0,43.0,15.0,,https://elections.huffingtonpost.com/pollster/polls/washington-times-jz-analytics-14282,http://www.washingtontimes.com/multimedia/image/polljpg_734693/#prettyPhoto,Nonpartisan,None,,1
Rasmussen,2012-07-06,2012-07-08,2012-07-09T10:10:43Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14267,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
ABC/Post,2012-07-05,2012-07-08,2012-07-10T09:46:09Z,855,Registered Voters,Live Phone,47.0,47.0,4.0,2.0,https://elections.huffingtonpost.com/pollster/polls/abc-post-14281,http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2012/07/10/National-Politics/Polling/release_102.xml,Nonpartisan,None,,1
Quinnipiac,2012-07-01,2012-07-08,2012-07-11T06:19:34Z,2722,Registered Voters,Live Phone,46.0,43.0,8.0,3.0,https://elections.huffingtonpost.com/pollster/polls/quinnipiac-14292,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1770,Nonpartisan,None,,1
Gallup,2012-06-30,2012-07-07,2012-07-09T10:18:24Z,3000,Registered Voters,Live Phone,47.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14274,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-07-01,2012-07-05,2012-07-06T09:38:11Z,1500,Likely Voters,Automated Phone,44.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14257,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-06-26,2012-07-05,2012-07-09T10:25:58Z,825,Registered Voters,Live Phone,43.0,42.0,10.0,5.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-14275,http://www.tipponline.com/presidency/news/presidency/race-tightens-in-the-aftermath-of-healthcare-ruling,Nonpartisan,None,,1
YouGov/Economist,2012-06-30,2012-07-02,2012-07-05T09:04:12Z,,Registered Voters,Internet,47.0,43.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14250,http://cdn.yougov.com/cumulus_uploads/document/kei4w7h2au/econToplines.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-06-28,2012-07-01,2012-07-03T16:31:28Z,1000,Registered Voters,Automated Phone,48.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14249,http://dailykos.com/weeklypolling/2012/6/28,Sponsor,Dem,,1
CNN,2012-06-28,2012-07-01,2012-07-02T16:10:15Z,1390,Registered Voters,Live Phone,49.0,46.0,,4.0,https://elections.huffingtonpost.com/pollster/polls/cnn-14236,http://i2.cdn.turner.com/cnn/2012/images/07/02/rel6b.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-28,2012-06-30,2012-07-02T10:46:20Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14222,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Gallup,2012-06-23,2012-06-29,2012-07-02T13:02:49Z,3000,Registered Voters,Live Phone,47.0,44.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14233,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Newsweek/Daily Beast,2012-06-28,2012-06-28,2012-07-02T10:51:40Z,600,Likely Voters,Live Phone,47.0,44.0,4.0,5.0,https://elections.huffingtonpost.com/pollster/polls/newsweek-daily-beast-14227,http://www.thedailybeast.com/articles/2012/06/29/new-poll-voters-dislike-supreme-court-s-obamacare-ruling.html,Pollster,Dem,,1
Rasmussen,2012-06-25,2012-06-27,2012-06-28T10:02:07Z,1500,Likely Voters,Automated Phone,45.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14202,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Democracy Corps (D),2012-06-23,2012-06-27,2012-06-29T12:28:00Z,1000,Likely Voters,Live Phone,49.0,46.0,1.0,2.0,https://elections.huffingtonpost.com/pollster/polls/democracy-corps-d-14218,http://www.democracycorps.com/strategy/2012/06/president-obama-makes-gains-in-winnable-race/,Pollster,Dem,,1
FOX,2012-06-24,2012-06-26,2012-06-28T11:06:23Z,912,Registered Voters,Live Phone,45.0,40.0,13.0,3.0,https://elections.huffingtonpost.com/pollster/polls/fox-14207,http://www.foxnews.com/politics/interactive/2012/06/27/poll-voters-say-neither-candidate-has-plan-for-economy/,Nonpartisan,None,,1
YouGov/Economist,2012-06-23,2012-06-25,2012-06-27T13:12:20Z,,Registered Voters,Internet,45.0,44.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14199,http://cdn.yougov.com/cumulus_uploads/document/5zx1lv6x8n/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-22,2012-06-24,2012-06-25T09:49:45Z,1500,Likely Voters,Automated Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14157,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-06-21,2012-06-24,2012-06-28T11:20:36Z,1000,Registered Voters,Automated Phone,48.0,45.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14209,http://dailykos.com/weeklypolling/2012/6/21,Sponsor,Dem,,1
NBC/WSJ,2012-06-20,2012-06-24,2012-06-26T14:01:33Z,,Registered Voters,Live Phone,47.0,44.0,6.0,3.0,https://elections.huffingtonpost.com/pollster/polls/nbc-wsj-14183,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/120626-JUNE-NBC-WSJ.pdf,Nonpartisan,None,,1
Gallup,2012-06-16,2012-06-22,2012-06-25T10:00:04Z,3000,Registered Voters,Live Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14161,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-06-19,2012-06-21,2012-06-22T09:56:36Z,1500,Likely Voters,Automated Phone,43.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14151,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-06-16,2012-06-18,2012-06-20T13:10:25Z,,Registered Voters,Internet,44.0,44.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14138,http://cdn.yougov.com/cumulus_uploads/document/cfvy9lxvl9/econToplines.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-16,2012-06-18,2012-06-19T09:53:24Z,1500,Likely Voters,Automated Phone,44.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14118,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Bloomberg,2012-06-15,2012-06-18,2012-06-20T10:18:15Z,734,Likely Voters,Live Phone,53.0,40.0,7.0,,https://elections.huffingtonpost.com/pollster/polls/bloomberg-14132,http://media.bloomberg.com/bb/avfile/rQyA68BW5P20,Nonpartisan,None,,1
AP-GfK,2012-06-14,2012-06-18,2012-06-20T10:29:41Z,878,Registered Voters,Live Phone,47.0,44.0,2.0,8.0,https://elections.huffingtonpost.com/pollster/polls/ap-gfk-14133,http://ap-gfkpoll.com/main/wp-content/uploads/2012/06/AP-GfK-Poll-June-2012-Topline-FINAL_HC-new-again.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-06-14,2012-06-17,2012-06-19T14:46:47Z,1000,Registered Voters,Automated Phone,49.0,45.0,6.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14126,http://dailykos.com/weeklypolling/2012/6/14,Sponsor,Dem,,1
Pew,2012-06-07,2012-06-17,2012-06-21T14:48:57Z,1563,Registered Voters,Live Phone,50.0,46.0,5.0,,https://elections.huffingtonpost.com/pollster/polls/pew-14149,http://www.people-press.org/files/legacy-pdf/06-21-12%20Voter%20Attitudes.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-13,2012-06-15,2012-06-18T09:53:21Z,1500,Likely Voters,Automated Phone,45.0,47.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14100,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Gallup,2012-06-09,2012-06-15,2012-06-18T13:01:17Z,3000,Registered Voters,Live Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14108,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
Rasmussen,2012-06-10,2012-06-12,2012-06-13T10:05:07Z,1500,Likely Voters,Automated Phone,44.0,48.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14082,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
YouGov/Economist,2012-06-09,2012-06-11,2012-06-13T13:22:20Z,836,Registered Voters,Internet,44.0,42.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/yougov-economist-14086,http://cdn.yougov.com/cumulus_uploads/document/u3436zp4v5/econToplines.pdf,Nonpartisan,None,,1
Ipsos/Reuters,2012-06-07,2012-06-11,2012-06-12T17:53:14Z,848,Registered Voters,Live Phone,45.0,44.0,5.0,6.0,https://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-14080,http://big.assets.huffingtonpost.com/June12ReutersIpsos.pdf,Nonpartisan,None,,1
DailyKos/SEIU/PPP (D),2012-06-07,2012-06-10,2012-06-12T10:28:33Z,1000,Registered Voters,Automated Phone,50.0,42.0,8.0,,https://elections.huffingtonpost.com/pollster/polls/dailykos-seiu-ppp-d-14071,http://dailykos.com/weeklypolling/2012/6/7,Sponsor,Dem,,1
Rasmussen,2012-06-07,2012-06-09,2012-06-11T09:56:04Z,1500,Likely Voters,Automated Phone,45.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14056,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
Gallup,2012-06-02,2012-06-08,2012-06-11T09:51:31Z,3000,Registered Voters,Live Phone,46.0,45.0,,,https://elections.huffingtonpost.com/pollster/polls/gallup-14053,http://www.gallup.com/poll/150743/Obama-Romney.aspx,Nonpartisan,None,,1
TIPP/Investor's Business Daily/Christian Science Monitor,2012-06-01,2012-06-08,2012-06-11T13:51:40Z,841,Registered Voters,Live Phone,46.0,42.0,8.0,4.0,https://elections.huffingtonpost.com/pollster/polls/tipp-investor-s-business-daily-christian-science-monitor-14064,http://www.tipponline.com/presidency/news/presidency/obama-ahead-by-4-points-over-romney,Nonpartisan,None,,1
Tarrance (R),2012-06-03,2012-06-07,2012-06-12T12:54:34Z,800,Likely Voters,Live Phone,47.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/tarrance-r-14075,http://www.bankruptingamerica.org/poll/memorandum-june-monitor-survey/,Pollster,Rep,,1
Monmouth,2012-06-04,2012-06-06,2012-06-07T14:14:52Z,1152,Likely Voters,IVR/Live Phone,47.0,46.0,4.0,3.0,https://elections.huffingtonpost.com/pollster/polls/monmouth-14032,http://www.monmouth.edu/assets/0/84/159/2147483694/a40d8817-79e0-4025-8dcc-0cda6ce63d3c.pdf,Nonpartisan,None,,1
Rasmussen,2012-06-04,2012-06-06,2012-06-07T11:39:42Z,1500,Likely Voters,Automated Phone,46.0,46.0,,,https://elections.huffingtonpost.com/pollster/polls/rasmussen-14021,http://www.rasmussenreports.com/public_content/archive/2012_presidential_election_matchups2,Nonpartisan,None,,1
FOX,2012-06-03,2012-06-05,2012-06-08T10:24:53Z,907,Registered Voters,Live Phone,43.0,43.0,12.0,2.0,https://elections.huffingtonpost.com/pollster/polls/fox-14041,http://www.foxnews.com/politics/interactive/2012/05/16/fox-news-poll-presidential-race/,Nonpartisan,None,,1
